atm_id,branch_id,location,status,installation_date
84eb80aa-8545-45af-b7db-52d314b96e5f,dee37e2b-a610-42ff-9fd9-98176995769c,"671 Morales Mountains Suite 221
Aarontown, CA 90530",maintenance,2024-07-16
6621ace5-bff9-49f0-a7a5-dc43ed2d89d8,cf5dfe79-ddda-489a-a8e4-5167b835ba08,"0722 Richard Views Suite 032
Lake Ericatown, MD 63999",active,2024-07-16
2ef8db86-b19f-4837-b967-cde4e1278fa3,768741f1-c7ba-4e0c-b096-82e73254214d,"5413 Martinez Underpass
Lake Lee, WI 88824",maintenance,2024-07-16
fa08d123-8d86-4eb4-aa2d-15012076d3e5,c3a076ee-fafd-4a79-a219-8c7d3bb71ab8,"03118 Harvey Walks
Haynesbury, MD 54549",active,2024-07-16
4dd5c3a6-0c13-4552-8c23-2e4e784f38b1,e45acbf1-fde1-44d1-82c1-4ae3d2476308,"45799 Salas Estates Apt. 539
Port Matthew, AR 23037",out of service,2024-07-16
9e241744-6177-457d-aade-6a8653cffe3d,c9cb1560-406b-407e-a4e3-1e53a48b1d81,"980 Goodman Street Apt. 105
Robinsonview, NH 98237",maintenance,2024-07-16
84f25880-973c-4570-b8f1-9f96baf3272f,61223329-f0c1-4800-84ae-fcb71cc14e21,"559 Gonzales Rue
New Joshua, MS 59009",active,2024-07-16
e65a0808-b728-4d75-926d-7b0106392ef9,c681cdc8-d44a-4bf0-a1a4-1cf0453507c0,"835 Sullivan Loop
Lake Samantha, KY 11698",active,2024-07-16
a222c374-73ce-41cd-bec0-be3470a9ee01,1f188313-888e-451e-bbf4-b294ad05212d,"919 Victoria Crossroad Suite 262
Lake Brittany, TX 65621",maintenance,2024-07-16
c54d5a2e-ce41-45b4-89aa-d9ccbd078795,d3fc7c7d-4f36-4583-b6eb-2a86c4821036,"61743 Hernandez Track
Jasonland, AS 24042",active,2024-07-16
5d7fde02-01bd-4ac4-a6f3-fa1fd4ffad23,9cf95af7-bbeb-4bc1-93d5-8e8ec62bba51,"4685 Molly Groves Apt. 444
South Gregoryburgh, MA 89764",active,2024-07-16
