interaction_id,customer_id,employee_id,date,issue_type,resolution_status
ccef7daa-2cfa-4931-9f2d-d8aea8687b24,5931e4a6-0f32-4a8a-ae33-26d37c184f83,13236c74-17e0-45f5-8272-84ffc3782da8,2024-07-16,account issue,resolved
aaaadd2f-f152-46d4-b35c-f379523ab127,184615ce-b742-4f96-8b0b-b24dd8fce504,a81f490f-1eab-409a-8fb0-b8f05202e570,2024-07-16,transaction dispute,resolved
32b4b889-af0a-4ddc-8744-e7bcc6c82b79,658d09f5-c7d3-4a93-a1e1-660bea95a8e6,5148bd72-ee39-4ddd-bf58-dc28a2bf701b,2024-07-16,card issue,escalated
0ee7b920-a723-49cc-9aef-10a2ebaef6ab,42a2cae4-056f-4056-a453-7db4e99bb7b5,75441273-b574-41c0-8152-957e36b7e628,2024-07-16,account issue,resolved
c57106a2-0860-4c7f-a557-14cbd949c5c1,a54f57f1-1ea1-427a-bf6e-d0e72bd84ffd,752a5811-be59-4361-afaa-aaa7a5f62f67,2024-07-16,account issue,resolved
ae5e7fd0-3ed7-4e0b-86f5-b801ccc4ebe8,b87e80ac-f8df-437c-915f-eb14074b64f1,0f759d50-cd0e-4f74-bfe8-27f6b2f51f95,2024-07-16,transaction dispute,escalated
8301f307-91ce-4079-ab4d-b6ba05d5c0cb,1e861772-e4ea-471f-8834-8bfcc71075fa,4de8e1d4-e01f-4e92-b10e-c321b167eef5,2024-07-16,loan inquiry,pending
3622d28e-d982-4b79-a319-d6d5a16b4707,b0051471-bd79-4c06-acc2-8d788d4bb885,4daa0a85-ad27-46ad-a896-789ee796d424,2024-07-16,account issue,pending
3eabbc80-bdbe-4a4d-b26e-72889d139318,b6d2933c-dd58-4f1a-862a-f6a12410e62e,4401a5a6-d88b-46e5-954c-846252977533,2024-07-16,transaction dispute,escalated
5c0a949a-7f69-46a1-b630-1f48d795e486,37b6833d-6573-4809-a276-f3e21555fd5c,ee0b2be7-12b4-415d-b41b-ea52eb7317d8,2024-07-16,transaction dispute,pending
f5113dc9-2ee1-4d73-a5fa-3836207a34ad,b9f85b8e-4255-47ce-aa2b-c51232f5f716,0a6d6ebc-c672-4dd9-9521-e8261ae84a8f,2024-07-16,loan inquiry,pending
fc9316d8-736e-4b80-8d7b-946e20d51253,630a1e54-a626-4a01-aae7-05f42f093559,9071791a-87cd-4478-9e09-da75ea1e9819,2024-07-16,card issue,escalated
ff0874b4-870b-4e77-9648-b242b0a9a1fd,e6b82b8f-1d65-4e92-9e2b-8dfcdd8dc017,bab0eac7-2fa0-4633-9e62-36257a9c4615,2024-07-16,account issue,pending
473405e7-4968-49b4-a53b-b32e1ad826bb,1d8df5c7-c74e-4242-9197-e4b88c228a52,3bdf22e2-a6bd-4c74-82c4-78658f6bcc8c,2024-07-16,card issue,pending
b07a1f21-0b7d-493c-9b23-9b7b4bcfcdb5,50949fb3-e406-4a00-9c10-b67f3e72986a,e1b37222-af54-4c82-8957-807bb641a82f,2024-07-16,other,pending
d41bd348-eb98-4861-9362-1f966762e626,63180306-1915-43ff-93f8-f0738aa08bc0,91fc8956-a5ef-4937-8b05-b92a7ffeee3d,2024-07-16,account issue,pending
406a2342-d60c-4a3d-845e-3214b5e69c01,d3f81b3e-1c02-423a-8d55-fcd7c4a42c93,aa96d73e-4ea2-4a80-848e-fc6b3debcb78,2024-07-16,card issue,pending
548908a8-68b9-4ca0-8ef3-6dc6868ba916,41ca3216-e8f5-44a7-8965-f8a4304a0aac,6eeaf0a8-d08e-4501-8e58-598cb7e07ffe,2024-07-16,account issue,escalated
0e6a6646-aba0-47df-91d1-1db8d66691d0,b8de9594-9481-49d2-b19c-14e6125fb4ce,01ab59ba-a643-4f4a-b59f-10127fdf8919,2024-07-16,other,resolved
4bc6337f-e954-4354-b9a3-2dd0ed7d538d,bbdf0517-8627-406d-9b90-3c43a2cfceb2,3b6d6a4c-425b-418e-a0ce-4aa6dca9d60b,2024-07-16,card issue,pending
0bc1943e-198a-4805-b601-588f5b8d551c,7bf476a2-eaaf-4cf8-b9da-1b9d9b626e41,08f8479e-384a-42fb-9f28-a00a67a5e115,2024-07-16,transaction dispute,pending
81eb33b5-0593-4bb8-bd53-eb2fa7d8593f,4621d3d0-6bfa-4b1e-9e7e-f4cada5a663e,ded5a30f-f2a5-4a7b-b920-277bd1cfb62f,2024-07-16,loan inquiry,escalated
79243ffc-01cb-40b5-8e80-d4b8928f94fc,f16fbee2-c408-4372-a6e6-29a1491305d0,da22ecba-db3d-4ea3-8251-fa1371be53c7,2024-07-16,loan inquiry,escalated
5d0014d7-f455-4d7e-b502-212285852f2c,456caca2-6da5-43bb-a428-c568ae2b974c,d1263aa7-9c4e-48fd-8231-4bd17e5e968d,2024-07-16,other,resolved
354de4d9-0ece-4a9d-bdfa-b28a669bbe28,89b56254-43b2-4c89-98de-50719e0162d5,e692b6f4-8d18-4072-a7b1-9bb35f8b19f6,2024-07-16,transaction dispute,resolved
2d62742d-3d58-423a-ac01-501f0f4d8486,14e0e302-64f9-4fa0-884f-4095c3a71565,1f8d2f9b-277c-47fd-885a-cd89bfb0701e,2024-07-16,loan inquiry,resolved
734769ab-57b6-4465-ae32-dc5a28dfd1b1,6b823ff2-6085-415b-bf16-a5b5c0ae624e,afb76726-1256-4ae4-a452-dbfb6a306293,2024-07-16,transaction dispute,pending
907f8e6f-22e4-4397-abfb-1509795ffd96,3e98e931-e2be-44bb-a3c9-f13fee9db1a1,5b01e700-d717-4413-94cf-d8ddaf5c9704,2024-07-16,account issue,pending
d1a58edd-1286-41c3-aaca-4d1721d6e65d,e6a0ac19-f16f-4a81-8bd8-fe6bdf8272ee,b08e7022-daa5-4876-9d7e-0fca6507c1ef,2024-07-16,loan inquiry,resolved
7ded2fad-a6da-40d8-821e-cf876c947cff,a73b66fe-aab1-4e00-8e16-c5ffb1285f34,53a2d397-dcf5-455a-96b6-9c78a29022bd,2024-07-16,transaction dispute,resolved
4cbdbf38-91af-49f1-bf03-f50d4336e809,b716a657-b842-4fcb-82b1-801e2f9ff544,10e0bad7-a4c6-4b66-ae06-4da734c81879,2024-07-16,other,resolved
a777b60d-a70d-4d65-a468-9b00ef13e0dc,985d6e75-5f38-4492-9a54-8bafe0097abb,abd82590-6f78-45eb-9e9c-b80ef1b813be,2024-07-16,loan inquiry,resolved
57fefa35-aab4-48d3-9f5b-375cde8a10be,ce41d52f-6ea1-473d-9202-25fd4487f090,f38bd9e8-9e01-422e-adc5-3b1b13c68c7e,2024-07-16,other,pending
c5a0b14d-82c7-4cbe-9c51-a2f50015960c,8960d3f3-3b33-48f6-b698-07e499149612,ad7d5c57-5af9-46a0-aff6-2a2ccd1248e0,2024-07-16,loan inquiry,pending
1e56b04f-9c62-4620-b010-e425b6ff5194,cb05b0c4-b0c4-491e-a7c8-559fd21aa240,18cf1cad-cfbf-44b3-9126-1465de5f90f8,2024-07-16,card issue,pending
e240d2fb-35f1-49d3-ba26-ad133021a708,9139a14b-c936-45ea-b1f6-552e2acd0ffc,6867abca-12fb-4097-8b5c-e016b3361a16,2024-07-16,account issue,resolved
9ce34b18-28e1-4e1f-b681-f6f147d984a0,93450048-d68f-423f-a153-9fe6bdd8f224,b51b74f8-b7c7-4177-9a3a-66ba54c41e95,2024-07-16,card issue,resolved
