policy_id,customer_id,policy_type,premium_amount,start_date,end_date
7f65808b-a5eb-42eb-9d90-ee0e78082737,e086e3fa-3100-4e7f-b70d-e1e4adfede6d,home,16926.69,2024-07-16,2024-09-20
180e1647-35c9-4656-acf4-adf3069a3555,03af4a04-a78e-4305-a159-88810e707b9c,vehicle,10868.68,2024-07-16,2025-01-11
6b4513cc-eae4-4a9d-a580-b8c37dfca9f6,c0bdc20d-cda4-4030-9739-7820714500e8,life,10269.61,2024-07-16,2024-09-21
7f39f2df-5bf0-495a-9d62-4a29056d7795,0dbbd9f9-7946-4460-9ebb-f0465f35e4f8,vehicle,15989.68,2024-07-16,2024-12-31
12b108ac-d2ea-4645-810a-494c26aec861,ea12a0a7-aef1-49a2-b2e0-42b8d6eee1ef,life,9259.15,2024-07-16,2025-05-02
cd58b08c-f019-4ef0-b91a-e35d7c291b11,ab5d90f5-8955-442c-90d1-535591f16bff,life,9724.79,2024-07-16,2024-10-08
d7ea8a4f-6553-4ba7-9c96-984b882b4bc9,28da4555-aa21-48e4-a1de-e6a39daa79c7,home,1402.24,2024-07-16,2025-06-27
40c7dfeb-b5f7-4539-aa0a-a9d168d9c4e7,55ad27a4-6f09-448d-9a4c-953e10988fa2,vehicle,3128.28,2024-07-16,2025-02-12
677d9ebd-8a9a-4bef-be0f-a8cbb4647733,d5c463c7-8aa3-4b38-b59e-3285a2d70b77,vehicle,18900.34,2024-07-16,2024-10-28
2097ab68-7b8e-4207-90f5-b9435f35c273,5c2daa00-028b-4c79-ad4c-8edc407ee797,health,11300.58,2024-07-16,2024-12-10
476ed307-ae5c-4c85-8ad9-5109b09586e6,2abfeffa-29bf-4298-8bcd-9893ef5da72b,life,2382.39,2024-07-16,2024-11-03
1cbba6b0-8f3d-41ec-9fc0-11d05a0d0f17,dbb31ac3-2371-4ac3-b16c-300d63cc3b8c,vehicle,17961.92,2024-07-16,2025-03-25
20ba856f-5e2c-4c06-9914-2e032d9b9850,df31bb1b-1077-47a8-8a65-644eaac53259,life,3098.07,2024-07-16,2024-07-25
a3040458-b675-41fa-98f9-31bbcce95884,dde39a16-997a-45f8-bdf5-8027ec961fb3,life,18972.55,2024-07-16,2025-03-14
9149e361-8fe8-471f-b47d-91e0334694aa,320670b0-272d-4b67-8a91-4d4c61e59639,health,18962.7,2024-07-16,2025-06-01
a5b2782d-38e7-40da-a6db-d97926615cbc,69081d86-571e-48df-a324-ea52affaebb5,life,3723.17,2024-07-16,2025-02-21
c79570d9-03f2-42ac-be6b-758155353e25,35107000-b9b2-4b95-bd1a-6e722810bcbf,home,17978.59,2024-07-16,2024-11-28
84b303c6-9f45-4f2e-b89f-914dc7d3d2a8,0cda7cfe-dbb2-4efd-85f0-f98d1523570c,vehicle,17787.41,2024-07-16,2025-03-07
7c695da5-667c-403a-b4e9-c1ab7191a652,98fa6d92-c59a-4bcc-8490-6ac04def6f8a,life,18873.11,2024-07-16,2025-06-17
6d32d1bb-cba5-49f3-93bd-58c3ead61efd,3c9092d4-2691-44bd-af98-59f5ed34519f,home,2445.72,2024-07-16,2025-05-24
e7991dc5-97c9-43ca-b5a6-6903ecaa6e60,25c2415d-6ac1-44f5-a670-0d019490ea89,life,13318.24,2024-07-16,2024-12-06
eeeaab3a-b940-4a6b-bb3b-0644c3202716,39a9b275-9adb-4ca6-82a5-d8af787b36b6,home,3284.04,2024-07-16,2025-03-20
64b6abcf-5d3f-4113-85e7-1a6e3de771a2,b1f97b10-6394-4beb-87b8-73ba14e05b20,home,17364.18,2024-07-16,2025-02-25
392b1b2e-c340-43ba-ba95-ae7b1a843fa6,1224f92d-af27-4910-8513-4f6f6bfd11e5,life,10992.98,2024-07-16,2024-09-12
6f25e1fe-eb0e-42a3-b460-fce1211fc0c9,0c52a8d3-a3e5-4fd3-8e1e-e2f59ed7d674,health,4147.77,2024-07-16,2025-04-14
8e78b462-b126-4e7f-9d24-a691c9c46306,f46d2a8b-9bcf-498e-b5af-f146cb9de225,health,12907.31,2024-07-16,2024-09-06
f1e3d043-78df-4384-bf9f-d945e8feffa5,9abd3c57-f040-495e-ac26-5f3eff0d0ef9,vehicle,15879.02,2024-07-16,2024-10-03
e1965edf-2f60-4c29-aacb-f7e00beb0c9d,b0051471-bd79-4c06-acc2-8d788d4bb885,health,16115.95,2024-07-16,2025-02-27
395451f6-14f1-453a-aec1-e9a75a92d26f,5520723f-22ee-4fc2-bd6d-44b800cce451,health,15683.25,2024-07-16,2024-07-22
07ab4b21-6a00-4ee1-b489-359a1535e28e,e9c3c200-8f21-450f-a9d8-5ce4805ea08c,vehicle,5641.01,2024-07-16,2025-05-19
d339a777-f635-4b83-b813-2cab63762206,0714daee-6455-4c73-9fe1-d0779d59fd32,vehicle,17291.72,2024-07-16,2024-11-20
fd9ab0f9-689d-4534-9a7a-8f4c343411c8,d4c5777e-7e5d-41fa-b665-32f9d9c17462,vehicle,18993.54,2024-07-16,2024-08-21
f19d1c36-3b97-4d58-8853-e8a7e7b3e0ac,03a4a832-33dc-4906-8d23-1242c4979d86,home,3246.84,2024-07-16,2024-09-08
70ce5b40-e3ba-4d15-8463-02708068a970,3ba3e35b-7c94-4a0f-816c-0f2cca34d26f,vehicle,13015.38,2024-07-16,2025-02-08
ae51cc7b-7219-4c3c-80e8-f8e8feadf0b8,0d5d8721-414b-4dd2-8b02-40fed04a1183,vehicle,1367.31,2024-07-16,2024-10-19
745ae5b8-6bb9-4400-b717-56b586f8495a,2950f78a-0585-4721-a807-dfe4326d70b8,vehicle,14698.39,2024-07-16,2024-12-30
79e97261-f1b3-4173-a6f4-59dea755cc97,e3344279-f929-49df-9562-c4bfee2802a4,health,17022.46,2024-07-16,2024-11-18
e86774b6-99f8-4b7e-b2d6-863d4d8f31b2,c5afa675-cf3a-46c2-a2f9-ec7cd6848280,home,4057.37,2024-07-16,2024-09-15
87c9a173-6063-4868-9103-fbac4a3420ed,d715de93-3e12-4f55-b647-06c73a58c21b,vehicle,16600.36,2024-07-16,2024-07-27
2d195230-9429-4432-9900-fdf6d59fa92c,18b5901d-52de-4de3-bdc4-a8e7946d7ba6,vehicle,4213.68,2024-07-16,2025-02-15
f139c9e8-3a43-4d37-830d-461314fd08de,6b62d262-1aea-4423-b4d8-2a7546ca380c,life,16243.39,2024-07-16,2024-11-17
e0b72b16-601d-4743-9c87-07d324488055,57b7a7bc-95ab-4556-bd00-3b4af0841680,health,3713.75,2024-07-16,2025-07-02
d46db22a-ae76-4d12-a4f1-66f8033c8965,734c4613-4974-4c37-888a-f27b2e83c7c9,health,9394.93,2024-07-16,2025-05-27
e146305c-f907-43ed-818d-86d3ad5715b5,655436ba-29ca-43ee-b541-a3340dc9e984,home,16344.72,2024-07-16,2024-11-20
ba6f80cb-8d18-42d1-b50d-f1b8323a9fa9,0d3cee5e-2546-4954-a5cf-9fedd08cfa05,vehicle,13790.32,2024-07-16,2024-09-30
f1285d0e-846d-4e34-85c8-f5a4cbbba59f,1224f92d-af27-4910-8513-4f6f6bfd11e5,life,16265.23,2024-07-16,2024-12-03
79797ce6-be09-43b0-9f20-1ef21adedbc0,75e91c36-a1fb-4d40-bead-05c6713736b5,life,9339.02,2024-07-16,2025-02-08
4b40648a-2c9c-4405-9baf-42bd6be9d787,25bf6d38-c4cf-4b14-b8ce-9089a747a933,life,17981.82,2024-07-16,2025-04-23
ff820910-07a8-4d77-9617-495625317a12,f5d532b4-aee4-4915-a88b-c48cae5b66b8,health,18985.9,2024-07-16,2024-09-04
cc58710c-4c7a-4422-8f85-087db81ae1d0,423d4a1c-5d97-4c5c-a5d9-7e723546bdcc,home,4141.94,2024-07-16,2025-06-18
8810dcd6-de42-4bfb-89c5-579ea36f01cb,2299c3ab-b551-4fb8-a6aa-0a4ec695f2bb,vehicle,9784.3,2024-07-16,2025-02-15
443b91a8-3918-44dd-b70a-9e790631b064,b40ae020-91c4-4267-8933-7ad000de5019,health,15478.75,2024-07-16,2025-07-15
ac1d5c6e-7091-4d40-83e5-2e22b62a1496,3b31c535-fc99-404e-ae57-d67d0ce25478,home,3777.83,2024-07-16,2024-10-03
b7152a42-2fdc-4156-b512-aa3ce4f6e44e,a621d39a-88d8-427c-9c44-8773ef00df81,vehicle,16896.24,2024-07-16,2024-11-19
e2c198a6-7a53-4859-a8bb-0585b6eba361,b4b13f49-11a9-44b2-8313-e225f4485c21,life,4354.11,2024-07-16,2025-01-21
3be47cb5-3cb8-4863-add9-e0277de63f64,5aa06a91-df00-4eae-9dea-3bd83fec14b6,vehicle,15470.33,2024-07-16,2024-11-04
b9057f3e-ffd8-46e5-b605-ed86b1e8a878,dd6d99fb-ec98-41d3-8e24-3a5f4942361a,life,3623.18,2024-07-16,2025-03-04
1cc286d8-5821-46d7-8427-073a90c3da75,b279a4e7-f611-47b5-83e2-8c4e1ebe684c,vehicle,15745.55,2024-07-16,2024-12-21
ded41ece-a290-441a-81c9-9a40acf35f49,7b071bca-cf11-46e1-a835-3f05295f22ee,vehicle,11034.05,2024-07-16,2025-01-22
6cb55356-afe3-4345-8060-5f6791afeb2a,71ab0468-58ed-423c-bd3e-332ca261bf62,vehicle,18814.14,2024-07-16,2024-11-13
88c9ab3d-3235-4b16-b4dc-d354d373d846,edacaadd-409a-4f27-baae-a03e0ddcdefc,health,4224.23,2024-07-16,2025-03-31
0d2446de-556f-416a-94a8-607e373c8524,3244b7e4-3c2d-40cd-8e84-b28522908458,life,5470.54,2024-07-16,2024-10-21
d580ca20-d5d1-4c51-ad4a-8ed76dbe0457,3e98e931-e2be-44bb-a3c9-f13fee9db1a1,life,4997.25,2024-07-16,2025-06-12
10c9c112-c9b9-4b4b-bf2a-b2977718f2c1,f08a1e00-15cd-4189-9f54-7944ece118cd,vehicle,13050.44,2024-07-16,2024-10-05
c528bccd-48a7-4309-95b8-a25ec7672416,6b823ff2-6085-415b-bf16-a5b5c0ae624e,home,1573.26,2024-07-16,2024-07-19
dc7b8a77-cbeb-4333-affd-1c5a576d1b2b,66ac3b40-45b5-4916-bdc6-6b3253b6ed4f,life,2151.67,2024-07-16,2024-11-16
8ed9e33b-9b1b-4b8e-81a1-b68bd91b0fc9,f9cb1b22-063e-4c66-bd5e-396f389a3390,health,7662.11,2024-07-16,2025-02-05
2dd38074-98db-4923-9b9e-9165bea6e4c9,d1b6486e-1f21-4132-bf9c-77acb944d9bb,health,10559.31,2024-07-16,2024-10-21
6115542c-bcc1-4bba-88f3-c016f861100e,ba1c7bc4-ea7b-4661-8b47-065093a1dd74,life,2725.02,2024-07-16,2024-08-12
5c2b92f2-e56e-40b1-8ca8-82b9d3aed88f,e6da1d2a-723f-488f-8bf8-de9d4b351a17,life,5815.85,2024-07-16,2025-06-11
98b34609-4f9d-482b-b81a-a9690d98f2fb,66ac3b40-45b5-4916-bdc6-6b3253b6ed4f,health,4289.02,2024-07-16,2025-04-04
4e6aabd3-e4a9-4d1c-8e64-3e121167bc0e,1127c142-d87f-4d29-8b11-f71505b724fa,health,11323.21,2024-07-16,2024-12-30
7a738912-7017-4545-85cc-0a7b8bf05f8a,246ee48c-6953-4a22-be55-c9d34a30ac54,life,18979.84,2024-07-16,2024-07-29
76d947e1-ba5a-46ae-94ee-a76da50d4b49,a13241a0-4edc-4793-86fd-cb6804cd1f41,vehicle,5532.03,2024-07-16,2025-07-04
801ed14f-a111-4250-90d2-6dfd3e2d08d2,e09522fa-abf9-4b0c-9f64-b32a6cf6eebb,life,1519.23,2024-07-16,2025-05-19
b8300426-e5ad-40a7-9664-b56605578e53,9154e06b-cfe8-457b-a4ed-b0a9836d4fa1,health,19586.11,2024-07-16,2024-10-17
75bb3ce9-61e9-499c-bf15-a71c2e3bc27c,09a8c654-cd95-48fe-9cd0-222cde8c895a,health,9850.84,2024-07-16,2024-12-31
508f109a-f5df-4b40-98bd-1488f00b30dd,1127c142-d87f-4d29-8b11-f71505b724fa,home,10312.52,2024-07-16,2024-08-05
1b7ab84b-0dec-475d-9fb1-9ad7260e04b6,87a805ca-e656-4a56-b3e9-4332d1a769ac,home,8516.11,2024-07-16,2024-10-08
be76999c-09b4-4fcd-b3e7-f483539f8e1f,44527f9c-af3b-48e5-9fde-152b03d2f09f,health,18435.35,2024-07-16,2024-09-26
a7d9a5be-d133-4843-b11a-690e1f368ba1,b5430a03-06b7-4f98-9cd4-a8cbb7ee2141,life,3934.81,2024-07-16,2024-11-20
03045842-e5f0-4db9-9125-ad53f325a106,9d9899c8-f5b3-45cf-9e14-eb8adbd43c92,life,17404.09,2024-07-16,2025-05-31
3acd687c-36b8-432e-9bce-1e8c7a7a5082,a9bfa148-330e-4d60-82a4-7291703fd2aa,vehicle,9625.36,2024-07-16,2025-05-02
09e021fb-a724-497f-8ca7-f6f578410359,66ac3b40-45b5-4916-bdc6-6b3253b6ed4f,life,17646.12,2024-07-16,2025-01-06
b03f3e74-2239-4650-8d1b-79524155e148,60946953-0b61-4a84-a9e6-2775435ea218,vehicle,5814.41,2024-07-16,2024-11-27
f450e9d9-4613-4ff2-b855-51cf23763ea6,132e95ca-6823-4774-9982-e8493bacbfab,home,4041.14,2024-07-16,2024-08-09
f9454809-cf99-4ca2-9598-82b5e4919726,802b0bc1-f5dc-4fbd-afc0-5267eca868f9,vehicle,9554.09,2024-07-16,2024-10-07
2b6eee7b-3ca5-4a00-a845-e83254f43901,90d77d26-0f87-43c1-a86f-00d1ff53b82d,life,15325.12,2024-07-16,2025-05-23
04855939-4b42-4b27-9ef1-73234ce752ab,d0f61ab0-c106-43e8-8788-e7d0425f16b2,life,9223.5,2024-07-16,2025-06-23
e276b769-cda1-469d-853f-add937988e7e,7b562b34-5620-4fa2-a3b9-9db3894962d7,health,6411.42,2024-07-16,2025-07-06
3355781c-ce37-4fce-b976-94a280ca93eb,a13241a0-4edc-4793-86fd-cb6804cd1f41,health,17266.28,2024-07-16,2024-10-17
326c0b9b-4cb3-49cd-93b8-c3e7e032835c,5cf704f3-f23a-4ae8-93b7-cc30689e5450,vehicle,10652.68,2024-07-16,2024-10-06
68d44717-561b-491b-9bef-8a4432582278,63180306-1915-43ff-93f8-f0738aa08bc0,health,8074.74,2024-07-16,2024-11-13
160478eb-8b0a-49fb-9521-d707cfcacbea,e9c3c200-8f21-450f-a9d8-5ce4805ea08c,home,15204.23,2024-07-16,2025-04-20
1c16a1e7-b593-48c2-aa08-95d903ad85c5,0ca8eebc-0196-4517-9fe3-b80fcf304b1f,health,4377.66,2024-07-16,2024-12-18
2776918b-79dc-4de9-87da-eeccfd1c644b,c5893ee3-dc09-4c47-b3df-2e4e9c8e9e64,home,2727.27,2024-07-16,2025-01-18
a2c066b0-fade-4b81-9ca7-10855a40d481,273a5932-12a3-47da-aab6-d261a3b70436,vehicle,6394.4,2024-07-16,2025-07-12
881c5d94-99fb-4521-b299-22d127dfb192,2abfeffa-29bf-4298-8bcd-9893ef5da72b,health,3177.95,2024-07-16,2024-10-13
925f0a0a-d0e5-4be4-91f8-09f4369daf05,3e41ca07-7249-45c6-9380-b06fbe081392,home,5723.7,2024-07-16,2024-11-13
281b95c3-d0f2-45ce-adcf-e8e4abd890b5,583e04ad-bce0-407c-be2d-7b5a49075840,life,10563.04,2024-07-16,2024-08-10
c1e0ec0f-8e85-4249-8160-a97e12df3b67,3678958e-ff0b-4530-9cc6-66a0b40050a6,health,14319.25,2024-07-16,2025-05-12
85725cd1-32d6-4bd5-a95a-522ea023b85b,36d8b98d-c7a2-43ec-9015-86aa4a1bc300,vehicle,6865.4,2024-07-16,2025-05-22
2752030c-245d-4090-a3a7-3689a0cde777,b869eff0-58ba-44b7-9639-44e3caeecb82,home,1659.9,2024-07-16,2025-01-27
03f7301a-5dca-4ef7-9036-ab3e8d4bc7b3,474a0af0-96ad-494e-a706-de2d1072be13,health,7421.7,2024-07-16,2024-10-28
827ce484-71d0-4dd7-9d88-7bfc8466213e,b6a394dd-afba-430e-a487-dcf389a18a31,vehicle,14689.64,2024-07-16,2025-01-28
24a2b1f5-93bf-4a5b-af16-b1c6c0f45249,c7fb9f48-e455-40dd-9432-8ac26b949c93,life,7737.25,2024-07-16,2024-07-17
e2dcc897-163a-4e67-a73e-cf7b25cb0f74,2877137c-4468-44b4-b41a-faf20cbc74e3,life,16736.11,2024-07-16,2025-03-28
329f5778-b13e-43b7-af31-9700dec3dc74,63180306-1915-43ff-93f8-f0738aa08bc0,health,10138.29,2024-07-16,2024-12-14
e79d5a67-87ae-4590-976f-86e6727d1c2c,14e0e302-64f9-4fa0-884f-4095c3a71565,life,19462.53,2024-07-16,2024-10-06
8c7ad7b5-9ec0-476a-8913-6fd486b4d809,4b83b98e-d5db-4de8-89e7-129504fcadc0,life,14545.14,2024-07-16,2025-03-12
dbf6bddc-9670-49f1-9563-ad91553b609c,4994ca7b-f486-460e-98a3-e2c24f2b5fd8,vehicle,2961.02,2024-07-16,2025-04-21
11c887b0-2070-43af-8183-23c4500110f7,3e41ca07-7249-45c6-9380-b06fbe081392,vehicle,3925.95,2024-07-16,2025-05-06
b9d712ff-8a3c-4ec5-b306-85071e120a12,62ede2c0-61dc-4a7d-a055-b0f086f439ef,home,11046.02,2024-07-16,2024-10-23
9f9841a9-cb3e-4cfa-ae68-5459f5853a21,c271f4a8-2faa-45af-b323-c9d7cbe34059,vehicle,11387.3,2024-07-16,2025-03-14
2c914983-3aed-4250-88b1-7d52e7548f98,6491ea48-a044-4c5f-b841-dea6e5685082,vehicle,17055.65,2024-07-16,2025-04-06
b89001ba-8d58-4203-9627-cfca29a4a332,13673572-28c7-4e39-a133-12f09c84b66d,life,15292.55,2024-07-16,2024-09-30
b1a72996-367d-4137-9652-29b41cc91af0,a815621e-4e43-46ee-acce-d523210cfbde,home,15862.72,2024-07-16,2025-03-28
20310104-4aa9-40a0-9efb-8f6552f0d4de,e003b75b-3c6b-4c32-8307-f28a33b4327f,health,3901.14,2024-07-16,2025-05-06
0060e6ea-7ab4-4fec-b205-86952499163e,160b7408-2af8-49fc-8e8b-e91d12c91206,health,9931.36,2024-07-16,2025-05-19
5aa49928-454d-4092-be37-f09c49726c65,985d6e75-5f38-4492-9a54-8bafe0097abb,home,10883.5,2024-07-16,2025-07-01
088b8c34-e272-474d-8068-7ec2a67892bd,835b1563-a0d4-4018-a457-162722dfcd9c,life,15140.09,2024-07-16,2024-12-11
