investment_id,customer_id,investment_type,amount,start_date,end_date
b085f347-f47c-49b0-ac48-eea6f20fdfff,241d1e8e-538b-4f18-8864-908ac8367726,real estate,193465.86,2024-07-16,2024-11-10
743e89ef-b81a-4e9e-a13a-50710b67ab60,1797f1ad-3ce8-4be1-af4f-c7005a639fbb,mutual funds,40596.43,2024-07-16,2025-01-02
abe0d1f6-1095-43fc-a7cf-45b63e6c722c,60946953-0b61-4a84-a9e6-2775435ea218,real estate,58633.06,2024-07-16,2025-07-13
87aee5e4-e6be-4c15-b5a2-da95057752f2,273a5932-12a3-47da-aab6-d261a3b70436,mutual funds,175138.0,2024-07-16,2024-08-06
234c43f4-4e1c-4f1b-8431-0bb469194584,9cc54e89-0701-4faa-a060-0b62415c661c,mutual funds,162811.38,2024-07-16,2025-04-25
fa0e5e42-84b9-4561-a8c4-6dc911e684fa,27a30c08-7355-4423-87b3-ccabc3be8f0f,stocks,136124.28,2024-07-16,2025-05-07
86478a1a-9e25-4afe-87a5-cb29caa8762e,6721ccc0-ad9d-4568-a14c-2f9171cec3af,bonds,96702.81,2024-07-16,2024-12-25
08a996ff-49dc-4d7d-a062-4eb2ee600a5c,dac3ac92-27e9-47d5-8982-c0ffa8a3a5c8,stocks,79662.54,2024-07-16,2025-02-23
a9a5e3a3-e7f7-4c26-a6c6-98ac3ea6a823,154a4171-e364-4ef8-a18b-ca9ab5da627c,stocks,150866.12,2024-07-16,2025-06-05
3db41b10-863d-4624-a177-42d6ad159e0b,0e528b5d-5654-4eae-a27c-df012d75203d,real estate,136733.85,2024-07-16,2024-12-22
2adf5436-6fff-4607-b79f-b51d6bcb1a79,ac041748-8afa-4f40-b6b6-6ec01162ead8,stocks,197448.78,2024-07-16,2025-01-09
2b7a697d-0938-4eea-87d6-38e804e3e299,b2c9302a-89df-4214-bc0c-38a45757625e,bonds,185588.29,2024-07-16,2025-02-27
e39dc207-a070-4808-a61c-979ead55a086,d4c5777e-7e5d-41fa-b665-32f9d9c17462,stocks,56996.49,2024-07-16,2024-07-24
911a7c3f-3e4d-42d8-ab5e-8c837f97a72b,abb546f6-37d8-4c81-b069-db7c066074a4,stocks,13492.09,2024-07-16,2025-07-12
3cee6d83-c342-4852-8829-69735dfc0de0,3678958e-ff0b-4530-9cc6-66a0b40050a6,stocks,144834.07,2024-07-16,2024-12-09
cca89a9d-62e8-4189-a248-4c6016de1fe8,c6afad64-5e1f-4958-89b0-04271cce467f,stocks,92604.85,2024-07-16,2024-10-30
328b2ad7-59ee-435c-8ef9-b014712f48ba,c9bece04-3614-499f-ac45-024743d76b4f,stocks,153633.64,2024-07-16,2025-01-25
