application_id,customer_id,property_value,loan_amount,interest_rate,application_date,status
acbb3dff-8799-4e37-859d-d003fd567971,68e538ed-f10f-461b-9e3e-3fb9cbc549c9,310169.64,982638.95,3.17,2024-07-16,pending
01048054-59f1-4f7c-90d8-3d6cfabb615a,e16dc6da-313d-4c5e-889d-785f7fe368cb,500691.9,736529.99,5.51,2024-07-16,rejected
a37d344d-3a97-4d3a-8598-f431cb7b35bf,7585b9b2-21f1-477a-9320-e2b9b0328e68,222597.96,117740.33,2.11,2024-07-16,rejected
eb558cad-d8c2-4fa9-af05-1d35a3e71306,b79b919d-01d5-45d5-8fd3-0dfc532020f4,375871.93,77342.11,7.52,2024-07-16,rejected
6a051765-e2c2-48c9-882a-3d22c3ef564c,2de7c381-4fcc-405a-bd27-b488af9a3d4f,330726.79,488327.96,7.34,2024-07-16,approved
d57e9eac-9ced-48ec-ad10-cb2b36e00697,3c9092d4-2691-44bd-af98-59f5ed34519f,170404.33,745717.63,6.53,2024-07-16,pending
a2922542-33fd-4fe6-84a5-5e5021bc8b3b,9d2fd799-b9c4-47a5-a87e-bf84e66f0b63,602373.2,155533.77,8.5,2024-07-16,approved
848c000e-b984-4cde-aabb-3fc21d7c0e3f,17b7a1d1-f32c-4489-b657-a4d5e9862af0,365086.32,390460.89,9.01,2024-07-16,rejected
d3aad7f7-b92a-4e8b-8913-bb578cc8e35a,c16f5a90-a0c4-445e-81c3-275eed61473f,660840.05,989680.57,9.76,2024-07-16,pending
45675f1f-f27d-44d7-922c-16add6b82e9b,7f5c284d-10a9-4653-a548-720df563b837,990340.01,704893.69,8.18,2024-07-16,approved
4a785614-5e1d-4a22-a24e-9365d0849dd2,27a30c08-7355-4423-87b3-ccabc3be8f0f,721728.18,639205.6,1.76,2024-07-16,approved
1c489192-fe10-4917-bc54-edefffe2c163,935655fb-f2f7-49db-bab5-35e09bed94fa,824910.16,240540.58,5.0,2024-07-16,rejected
1194f4c5-9839-48c6-8dd4-1ab9ed9dfcea,82bf1460-2fa1-481f-90d9-c6d4c6746c97,901248.44,757571.14,9.37,2024-07-16,approved
c8682150-627c-4903-b5ee-32e748836392,af35d281-06b4-460b-9578-e156d864417c,931937.52,122191.08,2.69,2024-07-16,pending
5f94666c-9fa7-4b79-b259-3a6355ce6722,320670b0-272d-4b67-8a91-4d4c61e59639,178604.93,655500.88,6.23,2024-07-16,rejected
b8c1f501-bdc6-47d2-898e-cffa923559f5,d0eea20a-c72f-45fb-b8dd-07e107f7767e,300518.28,627274.12,7.5,2024-07-16,rejected
0cd5af45-3f12-414b-9bbf-aa7a2590d8c2,68e538ed-f10f-461b-9e3e-3fb9cbc549c9,672679.46,551967.62,4.56,2024-07-16,approved
f987dff7-7d15-48a1-81d4-6fb319a7140e,a5e061d1-f024-4811-87da-fb4d605ee993,584671.57,628650.03,1.82,2024-07-16,pending
5195297b-5eb7-4fd4-8027-361c6472219a,992fa72f-706d-4828-ab28-d3d67bfe1c82,149954.6,161477.02,3.63,2024-07-16,pending
a3e2a71a-9978-4615-b85a-e808da078659,88e1dceb-ca49-4c10-a37e-5768515195e2,882018.33,154755.91,6.58,2024-07-16,pending
c673d9d3-1c2a-45ff-96a4-cd23bb9b055b,fbfcf5d8-ebf6-4044-8a24-33ce28e4f4c7,180247.01,271846.51,7.65,2024-07-16,pending
1263224e-85cc-4037-9fc3-b69de7dda8f1,2c76f25e-e998-4c38-8d66-2c9e50705aa6,287119.02,726623.01,3.26,2024-07-16,rejected
f3b9199b-f6a7-4f25-bb3d-8f55f12b81a0,f69e0f0a-5a74-4c71-88c5-81a0e387d3a4,930461.37,512277.01,1.67,2024-07-16,pending
3ef8762e-0ec2-42c5-847a-fa60de6761d8,3ed232be-f10a-450f-9287-4118db7fe760,56476.46,493915.87,9.18,2024-07-16,approved
301f2c34-70a2-4dbf-aca4-d11d7497bc26,bbdf0517-8627-406d-9b90-3c43a2cfceb2,482504.42,662663.0,9.06,2024-07-16,approved
3ae76c40-1999-40bb-a296-ee21466a46ba,ea12a0a7-aef1-49a2-b2e0-42b8d6eee1ef,229339.82,856720.25,5.48,2024-07-16,approved
a967b767-b717-4436-a5aa-e0ded3294d94,3e41ca07-7249-45c6-9380-b06fbe081392,103035.26,594254.51,8.94,2024-07-16,rejected
af40f56b-7d79-450a-821c-abbc5f8eb742,29c5105c-ddef-42c2-ae3f-77b3ad04f438,497304.36,371855.86,7.7,2024-07-16,approved
93c167c7-029b-43a9-8b48-d79b658148a7,dd0bea78-b08f-49b8-8a16-ce7f89f5c2f3,67419.21,561025.46,9.99,2024-07-16,approved
e9fc4770-2934-44b4-9c59-44b150cd9e37,44527f9c-af3b-48e5-9fde-152b03d2f09f,898017.82,308645.95,3.11,2024-07-16,approved
3776df90-2d76-4767-8ade-4d5c7db9b7ec,b1f97b10-6394-4beb-87b8-73ba14e05b20,565318.31,990712.6,8.19,2024-07-16,approved
51b9a444-959c-4ee2-a543-41dade736aae,dd011fc1-8f1f-46be-96a9-34f8a91b2fac,617078.18,229040.34,7.33,2024-07-16,approved
86ae4ae9-c6f7-4bf0-8def-a0ceec5b2de5,371b658b-1e56-4df8-931d-cf0c3a8d77fb,831765.67,719691.31,6.73,2024-07-16,pending
702df6a7-c2c7-4fe6-be02-67f1100695fa,6bf8b3cf-98b5-4d37-ab3e-85433d900abb,297335.19,757844.19,1.87,2024-07-16,approved
66c699ae-1145-475a-a4d9-09657135750d,0ea64f58-ae06-494c-a3e1-b9434e6e86f3,543709.72,213492.38,7.94,2024-07-16,approved
e8a9bd88-5f58-4452-acb2-008f6b659e5d,22d33aae-31e8-47fe-95cc-8f5e539936e0,762372.69,128885.73,4.5,2024-07-16,approved
2a8a4cec-13b8-4007-a42d-605e96c048c5,3d116af3-f8ce-43f6-a8cc-c5d91a040425,57716.24,894956.59,6.46,2024-07-16,pending
c261dbf7-5d7d-45b8-ac80-5f48f7892a45,abb4a498-bb1c-451b-b5bd-3b7f0152cb9a,655327.65,865126.11,5.81,2024-07-16,rejected
71d995b8-5e4e-4c1f-bb3c-f320cd32cbc1,82739590-f028-42c1-a7bb-e0e53a8f177a,869702.5,563763.62,7.78,2024-07-16,pending
5483f9c3-5c3f-4537-a917-94721daf7b20,17b7a1d1-f32c-4489-b657-a4d5e9862af0,861339.04,558410.27,9.57,2024-07-16,approved
e1f54484-9259-4d91-bcd6-dfce99249fe9,8ef89770-fc2e-4356-af01-4e28ffa5af55,890638.34,731781.05,6.86,2024-07-16,pending
5529394f-3c12-4246-afcc-4ade0d33f7d8,9e6dad4d-26ed-444e-9ac7-421b0d5c95b6,809272.15,852423.63,7.43,2024-07-16,rejected
cc3fa807-449c-43c1-b67c-0e431bfb2600,03a4a832-33dc-4906-8d23-1242c4979d86,780841.22,159474.41,9.1,2024-07-16,approved
df970277-ea0a-4eca-b408-99b6d64d54d4,26779dad-ef1e-4848-9af4-32b25b8b09bd,315735.62,101483.13,1.23,2024-07-16,approved
d98992ac-3336-4d20-a2ee-a74894ffb0a8,976d1d84-8f9d-446f-99d2-058e96e26ae5,177541.19,947825.91,9.56,2024-07-16,approved
05bfff54-357f-4e0e-939d-e9ac8e74297f,2b3a8bd9-5c65-4660-b0f5-f54aa50cbdf5,615580.96,773208.27,4.06,2024-07-16,rejected
8a14081a-eeaa-4137-bda6-011da757e65b,ad7dfdfd-9031-45b5-8b9f-5ed7bc534bb7,281913.71,957233.49,7.66,2024-07-16,approved
