charge_id,account_id,amount,charge_type,charge_date
f9cf96e3-016d-423e-82a1-29472b1327a5,885edffe-598b-490e-8022-dc7a708308c6,79.5,ATM fee,2024-07-16
d1a90aaa-4a83-4fe1-a85b-99d31112db6f,a132d8cb-f54a-48ab-ae05-c9a1f9bbb2cc,99.31,overdraft fee,2024-07-16
6b982361-7fd2-4d1f-b355-d83fdf0c588f,952b9746-3254-4eb6-835f-bd13b8b8d13a,9.3,overdraft fee,2024-07-16
90b1e011-3669-4983-b898-877eb2b57314,0d978c12-9df6-4ca9-92ce-7d10d56d894b,56.21,maintenance fee,2024-07-16
d2e07e1a-d6ad-4659-9969-87be669a437a,4916e4a4-8b31-489c-8242-f2a659675fdd,39.48,ATM fee,2024-07-16
5c6e2de6-422d-433e-9605-4051fab0262b,d54b11b3-92fd-47a4-8139-fda132c7a5c7,19.29,ATM fee,2024-07-16
c509fd2f-3f11-4e51-ac01-0833b125babc,9cf7b423-64da-440e-9517-f8718d424d5d,46.27,overdraft fee,2024-07-16
35671654-3efd-485f-a984-832374689ba6,e1b090a5-efe7-4013-b036-4090fad857fd,94.49,ATM fee,2024-07-16
71c23bfe-e465-4547-91bf-2b9c82ba5b7e,c8892c9f-44d9-4334-b303-2d30a9665a6e,12.37,maintenance fee,2024-07-16
f4b8c4de-861d-47ff-8c84-11ca2eaa611a,2c526f79-72b5-4473-8803-865c993864ba,55.12,overdraft fee,2024-07-16
a8ea5477-d2e1-432b-a45a-53dea3eb3667,9cf7b423-64da-440e-9517-f8718d424d5d,31.92,ATM fee,2024-07-16
a70da0ae-5fe6-4a16-9d86-c59741d928b3,901b9ed2-25a6-4f61-8f7a-d96afee0e360,42.89,maintenance fee,2024-07-16
deef7b74-3e0d-4c93-bfa8-3ac800d90c57,d6abd430-59b9-41a2-a6ca-efdf178b1522,20.67,maintenance fee,2024-07-16
aaba9f90-498b-4746-981f-3097ab4cce80,c7d9c63d-8f0c-4cfc-8401-7cd837f5c35b,95.11,maintenance fee,2024-07-16
e4e5406d-8d18-418b-820e-1c2c626bdd2f,47738710-9b7a-4144-9cb8-e8ba902d1209,78.76,maintenance fee,2024-07-16
ec9a2ec9-c395-4c13-80a0-f771884bd02c,8b8abdfe-040c-4d06-95af-9f411f9e6fad,20.3,maintenance fee,2024-07-16
26401e1d-bf91-498b-b143-9decda905941,37f9c554-dd22-4812-a7f3-2cb2947eeca9,45.26,ATM fee,2024-07-16
3e13aef6-80e1-40fa-8f61-d938abea5623,2f6a9652-9cc2-45cc-87ec-3cbc56b5df2c,82.45,ATM fee,2024-07-16
2b5e7a9b-3070-4f98-9b02-6006198b097e,7977dd7e-108a-4471-a3ac-dcc0b05abd70,86.24,maintenance fee,2024-07-16
