deposit_id,customer_id,amount,interest_rate,start_date,maturity_date
bf5b4d13-2fa6-430d-a24e-2ab2b16e3835,fca731c9-267c-4106-868c-1d4dbd7ec5b9,37321.52,7.94,2024-07-14,2025-05-15
6bd8ce1c-b9fd-420c-87fa-f1f73999914c,39a00b6e-8a89-461c-86db-8689790adbb8,76596.85,6.43,2024-07-14,2025-04-05
65e34526-c170-402f-af50-e17b7f039578,caeba699-8c0a-4130-b901-48a45897d23a,73806.1,7.59,2024-07-14,2024-07-26
7d1f6773-2c0f-4db1-8958-061ac26d9f86,8e20888e-b718-48b2-b1b3-3e3623d47732,72479.4,9.52,2024-07-14,2025-07-10
4921c895-e6a5-4ceb-b853-96eadcca4ef7,c5b4df03-370a-4917-818f-bba455986614,64648.93,3.99,2024-07-14,2025-05-15
18bfc805-8326-47a0-b1b3-557746b0bb73,84430ea5-2549-45d9-a4e4-c75a81680695,35823.5,8.65,2024-07-14,2024-10-26
f1457c77-64a5-43f2-b776-fe7eeed88a5f,651e5ae7-526f-4170-9725-9a6209f4063d,18916.33,8.15,2024-07-14,2024-09-19
e374f335-cc14-437e-92bb-44ef6dab8610,6322aac0-7f69-4765-91b6-858182000383,25562.5,6.89,2024-07-14,2025-05-16
d46de65c-c996-4bc3-b7a9-14fd82c205f0,502bfab8-3cb2-445e-9e88-08bed5c436ff,8947.47,9.59,2024-07-14,2025-04-30
bf949a7c-d30b-4c47-a1ac-3d6be43ffb00,8e33e90d-9a88-4a6d-ac22-68d838d86301,25781.68,1.17,2024-07-14,2025-07-02
5c7efe47-36ed-49e2-9f8b-757a1bf61939,ee7f046a-c4fd-4ef2-899e-bc8b8b6d30e4,43055.51,5.36,2024-07-14,2024-12-27
efdbc8f8-53ca-4e2e-abc3-cca746cb42da,5fd77d74-7071-4800-a2ab-734156e7260e,53826.57,8.49,2024-07-14,2024-07-27
105f7a63-4eec-4042-9858-e1e4d7823cd1,4f064a0d-ab1c-424b-875f-90c551dacbdf,32680.88,5.37,2024-07-14,2025-04-11
f3b22c09-fd68-426b-a289-789ef729d0b2,3b6c0473-45bb-4411-b167-3ba9dcca8572,67689.16,4.28,2024-07-14,2025-04-07
4e58b115-af69-4c5b-a9f3-1821ecad5a3e,e43860cc-809a-43f5-ae2c-dda52f247103,79799.77,4.55,2024-07-14,2024-07-15
e49cc919-254f-483e-b675-1e97279f0294,890f8a29-0deb-4adb-90ce-6444dd506fce,89110.5,2.36,2024-07-14,2024-07-22
f56707af-8725-411a-86df-7c1eb03d69e7,39575a3a-a714-4a31-b466-b644379ef2e7,62285.52,5.84,2024-07-14,2024-09-24
57b6ebe1-a44b-4cd6-9a84-6647c8a89d2d,4813a8f8-226a-42ba-bce0-42d1b39ed07e,37983.47,6.21,2024-07-14,2025-07-11
3271e95a-0fe4-4a16-9bb2-76826e4b76a8,8441c7d8-0da0-4473-ad70-c163735c1ca2,77595.9,3.73,2024-07-14,2024-11-02
b8e2dd93-8728-4f38-8615-77a693b21d7d,56384443-f2bb-4df6-aba0-1a7c8905796d,50354.2,2.43,2024-07-14,2025-06-17
3139be7e-83b0-4a9c-97da-c3caea6a1f6f,39922b61-4d87-45f8-8751-055ad9d8a8c1,46162.32,5.22,2024-07-14,2025-05-14
3009d275-8452-42da-8285-2b3759a71bd3,29417c39-ed64-428f-b97c-9683fcc7da30,83190.47,6.9,2024-07-14,2025-03-31
dec58f89-b297-4458-921b-bcee7a634cb8,479a36fb-3bee-4539-85ca-07c2d6fad6ae,98208.54,6.72,2024-07-14,2025-02-01
9c855965-115c-414d-bcf8-6ff472659de2,0160c3fe-87c5-476f-add3-8fa597110bef,23690.3,9.55,2024-07-14,2025-03-24
