investment_id,customer_id,investment_type,amount,start_date,end_date
c720189a-7425-4c83-be27-355768e6c06a,26d98e09-b94b-4b08-962c-f53991acfdd3,mutual funds,83453.62,2024-05-22,2011-08-20
55dfea2a-db9d-4450-b88e-ff1fd8a5bdbe,50bfdd2a-39c8-4d34-80bf-bc3a17a6f0c5,mutual funds,106566.11,2022-05-18,2004-07-22
99211fc2-392a-4139-bdfb-ab21ff95135b,14ad9d9a-599a-496a-9803-7e7647bd15d8,stocks,194712.38,2023-06-21,2016-06-11
f1474b07-4ca4-4efb-a5f1-16b23ecfce38,a949a3cc-0a78-4fde-a2e7-9678abd9e16f,real estate,27601.81,2021-06-09,2004-06-24
baaa5a22-488e-450b-8b01-749ef6e53120,23dd6a2b-5300-464e-9125-71cc04a8b224,mutual funds,94131.7,2022-02-04,2021-11-17
51f103c1-85a9-41e5-9e80-4d4fe00fb1e7,141b0c85-0c7b-44fc-ab62-54835fda8a15,mutual funds,146454.65,2021-12-12,2019-06-15
fc58abcf-ee64-4c0d-a60d-af3f73ca9486,21819455-3f05-4781-989d-e0780e6dadc6,mutual funds,156139.06,2022-05-17,2001-04-05
2c5214b8-7e1a-4d03-a4bd-777d18a7c3ad,05ebfe8d-b8e0-4844-922a-94701720e4cf,mutual funds,12545.91,2020-11-22,2022-10-20
65366d90-3f4a-403e-a69f-2eb9cd31fef9,adcc0536-9f1b-4526-9a10-0f76308f3cf2,real estate,134365.71,2022-10-25,2001-09-29
f415242f-edf8-4013-8e4d-a28443941e83,adcc0536-9f1b-4526-9a10-0f76308f3cf2,real estate,52143.34,2023-10-14,2008-11-04
411f6f4c-026a-40f4-8c29-2d21b04433a9,17c23ae7-fda7-448d-a57c-1ccf9393ee90,real estate,20249.09,2020-11-25,2022-01-26
a00bf817-19f2-445c-a4fd-7fe9eca25b3b,d4efb889-3b5f-4fee-b215-a7c214c2a245,bonds,94867.23,2020-12-13,2008-10-26
a8055c45-fbcf-4929-8f0d-8c20f363a21e,be851117-e9a1-47d7-a9c4-cb69f6e67d4f,bonds,134305.43,2022-08-17,2010-08-22
497514f6-e4f8-4ca7-8c2a-a3932e07cff6,09946efb-e329-4c72-9c9c-0b328b07782e,stocks,55273.75,2020-11-16,2011-06-22
e78f3b59-51fb-48c1-bf87-68853932a1b4,96f1ad14-da95-4f16-80a2-6468cdb0456f,bonds,63822.48,2024-05-26,2019-11-28
aa1a6195-a4dc-44b1-a4df-cbf88b22bd25,c634fb13-f63c-47a5-9986-fe0818b4223a,mutual funds,45468.3,2022-05-06,2007-01-10
ff6f2729-db15-44d2-94fc-8197727978f1,68eb13e5-fb0d-4bde-baf0-67e222c93065,real estate,160510.69,2023-11-03,2008-02-22
808ecc7e-3f6b-4bdd-9ff7-abb2602f293c,05ebfe8d-b8e0-4844-922a-94701720e4cf,stocks,30828.89,2024-03-06,2015-11-23
