loan_id,customer_id,amount,interest_rate,start_date,end_date
ad0c378f-9217-4f19-a17a-8be5a4ff63b1,23e08261-5697-441f-a6f5-45efa675cca5,106609.55,3.17,2022-02-17,2017-07-20
a41ee879-7761-4f2a-b184-b1a959184f5f,14ad9d9a-599a-496a-9803-7e7647bd15d8,417567.91,9.38,2023-12-11,2018-05-09
36aad448-d52f-4dcf-8fc7-e5ac6d873054,e69208e3-ffa5-4b42-88cf-7b50a044ab58,50694.56,14.05,2023-04-25,2000-11-29
f99751de-1f85-4434-a9b0-6b682f7d9b68,b5ec91ab-06ca-4627-8fc3-c74f6a30990e,24555.91,13.61,2020-04-11,2001-12-20
20b39c91-68e0-4a07-a106-89e4c3247230,e74a1f32-c9d3-4f60-8613-482144aa1504,155695.77,4.96,2023-04-21,2001-05-09
15aa6f43-b019-40fb-84f9-4b51282be74d,43cd9377-29eb-442a-8fc4-5e401b3c71a9,269522.61,11.37,2022-01-22,2009-10-08
292b727e-5772-4613-9d9e-5e6f8130c8dd,408abc02-2fbd-43d1-9b24-9c5e4e4db2f4,284546.99,2.19,2023-09-28,2019-07-20
73e4d19f-9874-4913-aa8d-3f5730d76697,cd3aeb48-32a2-4ba7-88d3-f977cb9ad0cf,83606.44,3.77,2024-06-09,2022-11-01
406770b6-9949-4d10-be07-8b19fb273535,e264fec4-8ebf-44ee-acb8-a8db222f4108,348379.65,2.01,2022-08-18,2001-06-13
e8febb13-e1c5-49ed-ad52-14c374b30822,b4df7819-e6b6-482e-a9b2-784cc261f609,259266.83,1.96,2020-10-04,2003-10-12
2eb9bf68-fcb7-4e4e-be27-d479c3aa7302,53c02ebf-861a-4078-8d5d-4ef58d94261b,246388.02,10.42,2020-06-10,2019-10-11
fdde5412-1a0c-41ac-90ad-2986ad77e98b,58f066ed-1bcf-4a2a-931f-92f7955f43a9,479756.14,11.67,2022-04-15,2003-06-26
7acd2c67-9a18-4710-aed3-499f067cbaa9,75ff7723-4635-40ae-b0ad-61f5351f37da,449017.1,3.32,2023-10-29,2005-08-10
