loan_id,customer_id,amount,interest_rate,start_date,end_date
e07208e9-254e-4e44-a41d-be44415be95b,40377afa-8e8a-4a7c-986b-000704951da7,458445.82,2.54,2024-07-14,2025-06-03
75a43535-01c0-43ef-aef6-ca1b3f578061,7f340e7a-2de3-4105-a6b9-3bf369019338,280198.09,1.54,2024-07-14,2024-08-28
a0945ab5-37c1-40fc-9331-307877d709ad,5ad75f45-1a04-4466-bf6f-5e48e9c66708,67912.83,3.16,2024-07-14,2024-07-28
d0973133-ad87-4ebf-b2f4-345843728c0e,06e850b0-52f5-4697-9293-013e50ae480d,359983.44,1.11,2024-07-14,2024-11-07
467ff11a-535e-4c6b-92c3-47ec8886e4d1,184bfb4e-ab67-45be-bdcf-c1d8a008780f,299900.39,8.91,2024-07-14,2024-11-26
ffb4fd1e-2115-4d44-a13e-753d676c0f95,3f983184-2535-46ce-9e93-bcd61352d4b7,187554.23,7.09,2024-07-14,2025-04-28
7adce08b-3ed7-485f-90b4-01cbb3a0e04d,8da076ff-1684-4e26-bd02-be618040153d,161742.13,12.18,2024-07-14,2024-08-20
93c8e17c-15a6-4bec-9dbb-68b5891de55f,cce8c819-3438-4d6a-a63d-00697f92dc5b,356462.57,7.63,2024-07-14,2025-01-29
790cb1a4-452e-49d5-9320-1b7ca0f6df1d,c7583a1a-a543-4c63-b048-a7ac06329aee,87741.32,11.9,2024-07-14,2024-08-30
617b6aa8-109d-4738-84e3-98351da17efe,91f67689-9f37-404a-83f8-ea16a11e2ccb,74155.2,3.25,2024-07-14,2025-05-14
e1ab1e31-5136-4c79-9c84-13439c4f81a8,b053dc1d-0c51-41c2-b9c9-f87b0829a924,297834.65,7.51,2024-07-14,2025-06-10
326044d0-74ef-4df4-9764-494f2e5e0196,10571e1c-8e97-4805-8ec4-7094d272c1d5,386559.74,14.82,2024-07-14,2024-10-08
d322c54f-3da8-490b-a30c-f1e225935eb6,eb8ac500-7704-4cb8-92d6-2cd6055bff79,137525.56,5.02,2024-07-14,2025-03-03
40dd1d72-b704-485d-ac26-dc68fb9bdfd2,f07b28ab-2f66-4dbd-b818-4208d870f71f,20587.51,11.06,2024-07-14,2025-02-16
ece71b52-7cca-4aa8-958c-595c9d000daa,8d2333b5-c595-4e5d-a5a9-ee40d44f728b,14664.32,7.23,2024-07-14,2025-05-08
