deposit_id,customer_id,monthly_amount,interest_rate,start_date,end_date
83920c89-64c2-478c-9a70-2ea7c3e76f79,548d90cf-b151-4d1a-9c74-0b6d6a86d651,1043.75,1.93,2024-07-14,2025-04-11
f8228a51-cb01-48d9-b7b7-35a45d78082f,761014eb-b474-48d7-a4d5-cd3edd0f58f4,946.07,4.41,2024-07-14,2025-02-27
1c5a7837-67d7-4113-b7e2-5408b97e4bf5,a392ffad-4c00-4935-a6f7-21540ba27e8c,689.06,4.66,2024-07-14,2025-06-13
7c04a3fd-b71a-4349-b12a-4a5dc218ab74,a80e065f-48d1-4dfe-b2c3-708136661045,1633.35,5.36,2024-07-14,2025-05-04
1e3f64bd-eafc-48ea-a95a-98c16fe9722b,0d6716df-3fc5-4b87-8941-65b1a809fe79,547.82,2.91,2024-07-14,2025-01-31
3d2c989a-2472-4fbc-8660-1259ac7c6390,9ceb7144-c8e1-4990-bafb-3d3f22a08fc2,171.19,3.21,2024-07-14,2024-10-08
6a49611c-8cdd-43f6-af53-159c626e5575,479a36fb-3bee-4539-85ca-07c2d6fad6ae,1517.94,9.64,2024-07-14,2024-08-04
30d83daa-9dab-4a93-815b-71828bffafb4,a6955261-68db-4c06-a56c-7b1477306f6c,1110.48,3.95,2024-07-14,2025-04-29
b8dba493-1a65-4e0b-a22b-4003daf494c0,20759cfa-6d46-4b80-b780-7a3ba0735b22,340.2,1.63,2024-07-14,2024-09-06
fc9d292b-ebc2-49f3-a1ba-ed7f9da1ebc3,383c98ff-dc7a-4609-80f0-c7da92e878cb,1894.16,2.31,2024-07-14,2024-07-31
6ea1ca9d-f53c-4604-95e0-e511fb1c9d2f,90f50a6c-25c5-4615-84b1-b70227b6c4b1,880.73,4.66,2024-07-14,2024-09-29
7e153d24-44e6-4892-ad5f-54e23da0b5ee,6b3afaa0-9fb1-4fd8-905f-efe8e65d1da1,1830.88,2.27,2024-07-14,2025-01-29
752111ed-8a47-4706-b670-1d548086fb42,40377afa-8e8a-4a7c-986b-000704951da7,824.71,2.6,2024-07-14,2024-08-26
796aa059-3c69-4f82-88c1-d77615e67cf9,1ee74d2d-7ec4-46fc-bb70-fba50ff5572c,1323.1,9.74,2024-07-14,2025-03-23
60e0f710-7c00-4d4a-b47d-0b5c6ebc66a2,b42d3fdb-45ac-43f0-b914-43ee5c99c6d7,825.1,4.14,2024-07-14,2024-11-25
217c0300-c9e3-4c77-90b6-e4b7a2ce9d4e,c730586d-1f12-4c76-bfbb-56168464cad8,1370.1,6.68,2024-07-14,2024-09-24
50c4132c-a88a-4472-a098-2b0627db81dd,29417c39-ed64-428f-b97c-9683fcc7da30,242.64,3.64,2024-07-14,2024-12-07
c24f68b2-fcae-4500-8a72-985c704312b1,38a746ff-66db-4a8c-bd86-dd0e7c26a976,1722.71,2.65,2024-07-14,2025-07-05
cc82c439-8dd9-4a35-8fce-3828c16074c7,006e2b82-c4f5-4a22-9d45-8980c65e37d4,846.36,3.9,2024-07-14,2024-09-05
a49cdd7a-1840-4019-9481-888d1b8b7bd8,006e2b82-c4f5-4a22-9d45-8980c65e37d4,1145.3,7.73,2024-07-14,2024-11-13
b881b6d1-750d-4bfb-b1e3-103e2d68ed6a,c6c41456-1d22-479a-9534-5a4b2ce02e25,441.35,7.63,2024-07-14,2025-05-05
8fc0c788-f3c5-4a22-a858-6ac864501600,9071cb14-f05e-4434-957b-2af59beebb8a,1667.54,7.08,2024-07-14,2025-05-21
24f2c501-12ff-4914-b58e-377c7eede39a,00967190-1efc-4722-b760-d2d41156c733,480.44,9.38,2024-07-14,2025-06-28
d89dca7d-666e-468a-a229-f2d8f45223ea,4c3abe9b-7faa-468f-bbdf-3a9164e2b091,163.65,6.34,2024-07-14,2025-04-15
94af3786-3073-4e0e-9abe-aa8d5128dbd7,c458f64d-a168-450e-bb6a-1001f7f3453e,1807.88,3.77,2024-07-14,2024-10-11
e6bf98ff-e393-40cb-b982-3dfdd53912cb,f054e314-d165-455d-b3cd-e51310f11457,1101.45,2.01,2024-07-14,2024-12-16
27acd1c6-b72f-40f1-b445-28c4f203f3ed,f7c11d34-0165-46f3-8a76-b823c7d1dc4d,1608.17,4.64,2024-07-14,2025-04-26
4f474696-f992-4a0b-9767-d9596c0a2a19,67aa28d8-d3d5-4df9-b442-c64cfb911b20,293.09,3.86,2024-07-14,2025-04-29
9dd99a23-79ac-410f-9127-9f5ec0b9f5d8,fdb52495-8373-41ae-a3a6-d3943461e229,782.78,8.2,2024-07-14,2024-08-12
1d6c6297-83fa-4be6-ad5f-7efcd0c95b6d,da0cd655-97d2-4e3c-af6e-ecd3c3367697,239.35,3.73,2024-07-14,2024-08-02
e1e88ab4-2dee-46ec-8767-1da9898ddb6d,e2df8283-015c-4c32-a703-0516b46d920f,682.59,7.9,2024-07-14,2025-04-13
cdc258a1-1777-404f-af2f-5b2447b824c5,e1f413d0-35bb-46f6-9d02-abd8c3090945,1184.29,1.57,2024-07-14,2025-05-29
eced7683-139c-46f6-99e3-97277a29847c,ff8eb36c-5f47-4f83-8c63-db980d005d7b,262.12,1.09,2024-07-14,2024-11-29
de1e436d-627e-4f5f-84ed-cf6bfa13f474,cba1f77d-4db7-4776-b7cb-f1e16452166d,1377.58,5.81,2024-07-14,2025-01-26
6d6fb79a-377d-4262-b175-af97b637548e,5ca68c06-3919-48e7-9896-2f428a97adab,1188.84,9.65,2024-07-14,2024-07-30
3a4f013e-214d-4c75-8cb9-2c835e16a578,40377afa-8e8a-4a7c-986b-000704951da7,1185.65,3.38,2024-07-14,2025-05-28
1b804f6e-1917-4ef2-9a7b-aeec3384bbcb,b94c4414-3a9c-45f2-bbf0-5fea2f711215,1078.9,8.3,2024-07-14,2024-10-04
cf0fec92-37dc-4619-a03d-88bddf522f8a,d4b518c5-3208-4fa6-ae68-d347535a2e3a,618.82,1.37,2024-07-14,2024-10-14
dc5acbfe-bd8f-4977-9a3f-a7351a9b40fa,497795ab-f920-4c1f-b77c-1d85d9f2f131,375.61,2.92,2024-07-14,2024-10-28
f650ba33-1c60-4ce8-86b1-08e64bbf007c,6c5d904b-d729-4187-903d-2a6c68ab7b74,904.63,2.69,2024-07-14,2025-02-15
104fe755-11d3-4180-9444-8546aff4bcfb,0be83624-14de-43eb-8571-5df58cf66d1c,996.16,4.9,2024-07-14,2025-06-05
8980a567-81f1-4072-a39c-ccf64c53de5f,771bc120-c299-49c8-9b14-aa7f46229a39,1798.08,4.52,2024-07-14,2025-04-26
c0e435b8-5a39-427a-8c33-a4e78153ff93,10c05da7-46af-45c4-98ae-2a1777d22757,670.18,4.4,2024-07-14,2025-05-19
92c23a2b-4b6a-4bf6-85b7-8db0386f4772,4c3abe9b-7faa-468f-bbdf-3a9164e2b091,645.97,1.92,2024-07-14,2025-07-05
b2913a0f-4bf5-4f14-81fc-68a5841679d6,22382d1b-e25f-448e-9454-e89d91db9693,1087.21,9.08,2024-07-14,2025-02-08
e1d9c3bc-1f00-4ddd-a5b1-df9989986632,b9b380cb-69e0-4906-990d-93978e1cec15,270.03,8.61,2024-07-14,2025-03-12
c4ae8a42-7e02-4b03-9303-7687e878b0e5,7cfed409-cdaf-45d5-88be-b4655d09eff4,893.84,7.28,2024-07-14,2025-02-28
21a1261d-6e06-4400-b5bc-886225f74e30,b0a41888-7cde-4b82-bdc5-6850d9dec2f6,350.8,9.32,2024-07-14,2024-10-15
f4014f6d-a4c1-4154-8264-72c25236765a,c098eaf7-d544-4ee4-b79a-6721004a1097,352.29,4.64,2024-07-14,2024-09-12
0bd885a0-ecb1-4eed-b17d-ecdb95e06426,22382d1b-e25f-448e-9454-e89d91db9693,784.17,5.06,2024-07-14,2024-08-10
34550bac-3f6b-4b3a-8d82-6fd7b82b1ab0,eda65fee-85f8-455c-8ea3-b6fd6e8667a1,195.2,7.74,2024-07-14,2025-01-25
ff500e33-a339-450c-a756-ebc5508be33f,ad2ea36d-d664-4ec6-9d80-9fab9c15b040,439.57,7.23,2024-07-14,2024-07-22
2ec81ead-81ac-44ff-a857-d069eb8c3e7e,02a3af50-e1b4-44cb-90d2-e98692c416de,1805.17,1.08,2024-07-14,2025-03-30
f1482b04-fb5b-421d-8332-644a69761624,903d080b-92ca-4f93-91f1-fef0ab3ffb02,1843.8,3.19,2024-07-14,2025-03-17
669604c4-37c1-4e4a-a89a-3ba135ae490e,d7eb9c1f-aaa8-4b95-b0cf-4a91353fbd0f,362.79,8.23,2024-07-14,2025-03-26
c3158f8f-a3f4-461d-b959-e3bf83f55df2,cdbb0c60-44cd-4a48-ae3e-c8900d35a312,480.81,3.45,2024-07-14,2024-07-20
aa13c722-d71e-4457-92b3-946402964e03,0a9215a1-eaf5-448e-8eda-4d80ac3203a3,904.51,3.28,2024-07-14,2024-08-14
e441de74-3167-4440-ad27-b775382c67f6,2d76446a-945e-4ebe-bb20-ac16506cb175,1403.98,2.69,2024-07-14,2024-09-23
fd0c3a7f-8535-4f80-8559-4c763a01bc26,8e8ccd1e-0f34-458a-b2c5-d624e499219d,1509.83,3.3,2024-07-14,2024-08-06
e56e2ad4-da3e-4e78-9f08-43d56c19e308,9fc9d60f-ebbc-4672-a1cc-d28e2770e350,1414.71,2.89,2024-07-14,2025-01-22
73d95153-203c-44aa-82bb-6739aecb59f2,02d3466f-0e0f-4f0e-b33a-3d9d4e6b6306,1134.2,8.28,2024-07-14,2025-02-14
d69c2bb5-a115-41f1-b24e-9a686d577144,14d09976-9e25-4895-9159-8a1acd38a72b,387.45,7.88,2024-07-14,2024-12-21
4978a934-8094-438b-9181-a6b2934d5dc0,cba1f77d-4db7-4776-b7cb-f1e16452166d,237.49,7.14,2024-07-14,2024-08-25
9ddab5bd-cbd5-4901-a0f6-90514b72e288,8deef953-fe76-4348-b76e-4d4ecc4864c3,804.28,5.95,2024-07-14,2025-01-29
cde75376-0dd3-481d-928c-476facedfefd,ac3aa7c0-01a1-4e0b-9b98-06132e7efd19,295.68,2.73,2024-07-14,2025-04-04
ee449745-5ae8-430b-a096-48be08c38d82,a6ae2cee-ccfc-4bfe-ad13-81a73ddf3e5a,481.55,9.64,2024-07-14,2025-02-04
46ce185f-2234-4b19-a552-aa981f21fb95,7284c661-14bf-4805-80c9-d1c91268844d,336.7,7.34,2024-07-14,2024-11-21
34b7b0a0-4bad-4f1e-a798-ad93696dccef,e429c39b-4486-42ba-b5c1-668cda4291a6,759.45,8.55,2024-07-14,2024-07-15
