goal_id,customer_id,goal_name,target_amount,current_amount,start_date,end_date
fab077d6-78c5-447d-867e-6d34aaa7e44e,f2cdcd00-d235-4662-a0b6-a385fff1181b,blue,4979.83,13897.58,2024-07-14,2024-07-15
c1e7d40b-4f36-4dd4-9e4f-fbabf3252b37,98ca7e39-e624-4360-a4e9-3f1293f23269,often,13883.98,15718.96,2024-07-14,2024-10-14
edcd3eb2-ee19-4e2b-84b1-b435d03139f1,5cceed80-c106-4fb3-a643-cf43c5d7ed30,beautiful,5728.39,29442.71,2024-07-14,2024-10-05
53467fe8-a9ca-4211-9dd4-0e7237e9f876,1061438c-0ecb-41e3-b7ca-2ca985bee2a2,off,29372.91,5149.81,2024-07-14,2024-11-29
a0399b8d-c054-4a64-94d3-d997f298d195,27f84479-73dc-4a4f-bad5-1d266da8def8,moment,34831.73,20371.37,2024-07-14,2024-10-06
fd3e4434-5018-4641-96f5-58af5f10e542,c7583a1a-a543-4c63-b048-a7ac06329aee,quickly,3985.48,41751.04,2024-07-14,2025-03-05
bc99d8e2-d313-4a31-9f27-d2bd271fd2ad,88b4f3dd-4e2b-4b4a-932a-16508f6ccea0,building,33568.21,14103.92,2024-07-14,2025-03-24
c2434d50-067c-455c-a1fe-c7633b6d7fb3,6f541f8a-ee84-48d9-ae34-f7f5a04b0d3e,relationship,44575.76,12176.96,2024-07-14,2025-04-30
524472bc-30a0-489b-af87-fb7504689a2b,dea5cb60-19c4-4243-b8a1-d3c2b34bd3cf,decade,32320.78,36847.61,2024-07-14,2025-04-30
f41a8f31-b837-405a-a867-4c2ec255ff6b,8153a48f-6831-4621-bc41-598f2b74214e,star,46326.88,45724.34,2024-07-14,2025-06-04
4b206c07-8aee-4efb-ae80-e8dac1bfeda4,03aa5dd7-5502-4c46-96b6-ceefb949e090,somebody,8983.59,21467.55,2024-07-14,2024-09-21
a4697690-8155-4404-a48c-13be8b9eef51,a5a4ccee-2840-4a47-8f07-be351922026e,avoid,40471.14,1527.9,2024-07-14,2024-08-24
307b90fb-3ac1-46a5-b44a-7f950c294eb0,c1a26284-0e11-4476-8e07-c2e261413b72,notice,1940.85,45356.99,2024-07-14,2025-05-06
8825d6a4-8770-4908-9d05-1e0124ca0025,c420f638-fab4-4796-86b9-ccd05a404511,get,34995.85,18191.21,2024-07-14,2025-01-04
da8db8bf-e436-4c8e-892a-fcf28c7703dd,4b6b25bf-f0f4-4604-a0f0-e3a3ac705ed7,book,42239.88,13667.78,2024-07-14,2025-04-08
2ea4975d-e3ee-4a1f-8c5b-8cd3b7bbde3b,0f09e03b-60a5-4017-bc3f-465139d8a2f0,art,8564.13,9057.01,2024-07-14,2024-09-28
b2235ac2-fa31-47f9-a599-bdec8329804f,e699f2fa-c988-492c-823a-bcdd06ce771c,single,10426.42,33995.08,2024-07-14,2025-05-20
dd6a7db8-cdce-40f4-83fe-b080f39dcd94,19a3fd64-58dc-4036-b9b7-080053146df7,item,36415.12,4552.1,2024-07-14,2024-11-03
5e0c4cd4-588c-4eb6-82d0-13eaafd895f2,863acba3-9482-4779-9b07-cf484d4b0caf,TV,30754.23,6160.93,2024-07-14,2024-10-18
05206722-d73d-43c4-a0a2-d7685779e26f,88b4f3dd-4e2b-4b4a-932a-16508f6ccea0,social,41030.86,48034.36,2024-07-14,2025-01-25
e07660ea-50ad-4dcf-8622-8b47bfc4ff1a,af03a0cb-cc48-481a-8ca3-676f5b3bd2e8,kitchen,43504.45,36484.55,2024-07-14,2025-02-21
a24db3df-7a09-4bdf-b6b3-109c8584a155,5ca68c06-3919-48e7-9896-2f428a97adab,name,28008.9,3810.47,2024-07-14,2025-04-18
b2cc55ac-cb8b-4726-bffb-4715db5ec288,9a04ae99-a6a4-4289-9a23-6c5afb2a905b,radio,45575.93,22892.4,2024-07-14,2025-01-07
0a75bee4-bc7a-469d-9778-3d82ea70da1f,9fe93f6b-045b-41e7-a137-2ceaf93ce8e0,run,5132.58,37201.25,2024-07-14,2024-11-19
809d6725-6cad-48c1-a9d1-ca744b7a7291,6def626e-cfb1-453e-93c0-93476be8d0c5,million,20052.9,25065.36,2024-07-14,2024-12-27
