[2024-07-16T05:50:09.439+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-16T05:50:09.486+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [queued]>
[2024-07-16T05:50:09.499+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [queued]>
[2024-07-16T05:50:09.499+0530] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-07-16T05:50:09.515+0530] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): Prepare_data> on 2024-07-16 00:20:08.570795+00:00
[2024-07-16T05:50:09.520+0530] {standard_task_runner.py:63} INFO - Started process 52089 to run task
[2024-07-16T05:50:09.523+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'dag_prepare_data_historic', 'Prepare_data', 'manual__2024-07-16T00:20:08.570795+00:00', '--job-id', '1423', '--raw', '--subdir', 'DAGS_FOLDER/dag_prepare_data_historic.py', '--cfg-path', '/tmp/tmp2imn_ql2']
[2024-07-16T05:50:09.526+0530] {standard_task_runner.py:91} INFO - Job 1423: Subtask Prepare_data
[2024-07-16T05:50:09.580+0530] {task_command.py:426} INFO - Running <TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [running]> on host kali
[2024-07-16T05:50:09.664+0530] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='dag_prepare_data_historic' AIRFLOW_CTX_TASK_ID='Prepare_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-16T00:20:08.570795+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-07-16T00:20:08.570795+00:00'
[2024-07-16T05:50:09.665+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-16T05:50:10.504+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.505+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.506+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.507+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.508+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.512+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.514+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.516+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.517+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.518+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:50:10.519+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.520+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.521+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.522+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.523+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.524+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.526+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.529+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.532+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.533+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:50:10.534+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
