[2024-07-16T05:57:09.586+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-16T05:57:09.620+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [queued]>
[2024-07-16T05:57:09.631+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [queued]>
[2024-07-16T05:57:09.631+0530] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2024-07-16T05:57:09.648+0530] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): Prepare_data> on 2024-07-16 00:20:08.570795+00:00
[2024-07-16T05:57:09.653+0530] {standard_task_runner.py:63} INFO - Started process 62551 to run task
[2024-07-16T05:57:09.656+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'dag_prepare_data_historic', 'Prepare_data', 'manual__2024-07-16T00:20:08.570795+00:00', '--job-id', '1424', '--raw', '--subdir', 'DAGS_FOLDER/dag_prepare_data_historic.py', '--cfg-path', '/tmp/tmp568s6shq']
[2024-07-16T05:57:09.658+0530] {standard_task_runner.py:91} INFO - Job 1424: Subtask Prepare_data
[2024-07-16T05:57:09.707+0530] {task_command.py:426} INFO - Running <TaskInstance: dag_prepare_data_historic.Prepare_data manual__2024-07-16T00:20:08.570795+00:00 [running]> on host kali
[2024-07-16T05:57:09.784+0530] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='dag_prepare_data_historic' AIRFLOW_CTX_TASK_ID='Prepare_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-16T00:20:08.570795+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-07-16T00:20:08.570795+00:00'
[2024-07-16T05:57:09.784+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-16T05:57:10.468+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.469+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.470+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.471+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.472+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.473+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.474+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.475+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.476+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.479+0530] {logging_mixin.py:188} INFO - 2023-01-01 00:00:00
[2024-07-16T05:57:10.480+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.481+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.483+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.484+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.485+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.486+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.487+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.488+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.490+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.492+0530] {logging_mixin.py:188} INFO - 2023-01-02 00:00:00
[2024-07-16T05:57:10.495+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.497+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.499+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.501+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.503+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
[2024-07-16T05:57:10.505+0530] {logging_mixin.py:188} INFO - 2023-01-03 00:00:00
